A                              Current cost: 0
A-B                            Current cost: 3
A-B-A                          Current cost: 6
A-B-A-B                        Current cost: 9
A-B-A-B-A                      Current cost: 12
A-B-A-B-A-B                    Current cost: 15
A-B-A-B-A-B-A                  Current cost: 18
A-B-A-B-A-B-A-B                Current cost: 21
A-B-A-B-A-B-A-B-A              Current cost: 24
A-B-A-B-A-B-A-B-A-B            Current cost: 27
A-B-A-B-A-B-A-B-A-H            Current cost: 28
A-B-A-B-A-B-A-B-C              Current cost: 25
A-B-A-B-A-B-A-B-C-B            Current cost: 29
A-B-A-B-A-B-A-B-C-G            Current cost: 28
A-B-A-B-A-B-A-B-C-D            Current cost: 33
A-B-A-B-A-B-A-B-H              Current cost: 26
A-B-A-B-A-B-A-B-H-A            Current cost: 30
A-B-A-B-A-B-A-B-H-B            Current cost: 31
A-B-A-B-A-B-A-B-H-G            Current cost: 28
A-B-A-B-A-B-A-H                Current cost: 22
A-B-A-B-A-B-A-H-A              Current cost: 26
A-B-A-B-A-B-A-H-A-B            Current cost: 29
A-B-A-B-A-B-A-H-A-H            Current cost: 30
A-B-A-B-A-B-A-H-B              Current cost: 27
A-B-A-B-A-B-A-H-B-A            Current cost: 30
A-B-A-B-A-B-A-H-B-C            Current cost: 31
A-B-A-B-A-B-A-H-B-H            Current cost: 32
A-B-A-B-A-B-A-H-G              Current cost: 24
A-B-A-B-A-B-A-H-G-C            Current cost: 27
A-B-A-B-A-B-A-H-G-H            Current cost: 26
A-B-A-B-A-B-A-H-G-D            Current cost: 32
A-B-A-B-A-B-A-H-G-F            Current cost: 28
A-B-A-B-A-B-C                  Current cost: 19
A-B-A-B-A-B-C-B                Current cost: 23
A-B-A-B-A-B-C-B-A              Current cost: 26
A-B-A-B-A-B-C-B-A-B            Current cost: 29
A-B-A-B-A-B-C-B-A-H            Current cost: 30
A-B-A-B-A-B-C-B-C              Current cost: 27
A-B-A-B-A-B-C-B-C-B            Current cost: 31
A-B-A-B-A-B-C-B-C-G            Current cost: 30
A-B-A-B-A-B-C-B-C-D            Current cost: 35
A-B-A-B-A-B-C-B-H              Current cost: 28
A-B-A-B-A-B-C-B-H-A            Current cost: 32
A-B-A-B-A-B-C-B-H-B            Current cost: 33
A-B-A-B-A-B-C-B-H-G            Current cost: 30
A-B-A-B-A-B-C-G                Current cost: 22
A-B-A-B-A-B-C-G-C              Current cost: 25
A-B-A-B-A-B-C-G-C-B            Current cost: 29
A-B-A-B-A-B-C-G-C-G            Current cost: 28
A-B-A-B-A-B-C-G-C-D            Current cost: 33
A-B-A-B-A-B-C-G-H              Current cost: 24
A-B-A-B-A-B-C-G-H-A            Current cost: 28
A-B-A-B-A-B-C-G-H-B            Current cost: 29
A-B-A-B-A-B-C-G-H-G            Current cost: 26
A-B-A-B-A-B-C-G-D              Current cost: 30
A-B-A-B-A-B-C-G-D-C            Current cost: 38
A-B-A-B-A-B-C-G-D-G            Current cost: 38
A-B-A-B-A-B-C-G-D-E            Current cost: 32
A-B-A-B-A-B-C-G-D-F            Current cost: 33
A-B-A-B-A-B-C-G-F              Current cost: 26
A-B-A-B-A-B-C-G-F-G            Current cost: 30
A-B-A-B-A-B-C-G-F-D            Current cost: 29
A-B-A-B-A-B-C-D                Current cost: 27
A-B-A-B-A-B-C-D-C              Current cost: 35
A-B-A-B-A-B-C-D-C-B            Current cost: 39
A-B-A-B-A-B-C-D-C-G            Current cost: 38
A-B-A-B-A-B-C-D-C-D            Current cost: 43
A-B-A-B-A-B-C-D-G              Current cost: 35
A-B-A-B-A-B-C-D-G-C            Current cost: 38
A-B-A-B-A-B-C-D-G-H            Current cost: 37
A-B-A-B-A-B-C-D-G-D            Current cost: 43
A-B-A-B-A-B-C-D-G-F            Current cost: 39
A-B-A-B-A-B-C-D-E              Current cost: 29
A-B-A-B-A-B-C-D-F              Current cost: 30
A-B-A-B-A-B-C-D-F-G            Current cost: 34
A-B-A-B-A-B-C-D-F-D            Current cost: 33
A-B-A-B-A-B-H                  Current cost: 20
A-B-A-B-A-B-H-A                Current cost: 24
A-B-A-B-A-B-H-A-B              Current cost: 27
A-B-A-B-A-B-H-A-B-A            Current cost: 30
A-B-A-B-A-B-H-A-B-C            Current cost: 31
A-B-A-B-A-B-H-A-B-H            Current cost: 32
A-B-A-B-A-B-H-A-H              Current cost: 28
A-B-A-B-A-B-H-A-H-A            Current cost: 32
A-B-A-B-A-B-H-A-H-B            Current cost: 33
A-B-A-B-A-B-H-A-H-G            Current cost: 30
A-B-A-B-A-B-H-B                Current cost: 25
A-B-A-B-A-B-H-B-A              Current cost: 28
A-B-A-B-A-B-H-B-A-B            Current cost: 31
A-B-A-B-A-B-H-B-A-H            Current cost: 32
A-B-A-B-A-B-H-B-C              Current cost: 29
A-B-A-B-A-B-H-B-C-B            Current cost: 33
A-B-A-B-A-B-H-B-C-G            Current cost: 32
A-B-A-B-A-B-H-B-C-D            Current cost: 37
A-B-A-B-A-B-H-B-H              Current cost: 30
A-B-A-B-A-B-H-B-H-A            Current cost: 34
A-B-A-B-A-B-H-B-H-B            Current cost: 35
A-B-A-B-A-B-H-B-H-G            Current cost: 32
A-B-A-B-A-B-H-G                Current cost: 22
A-B-A-B-A-B-H-G-C              Current cost: 25
A-B-A-B-A-B-H-G-C-B            Current cost: 29
A-B-A-B-A-B-H-G-C-G            Current cost: 28
A-B-A-B-A-B-H-G-C-D            Current cost: 33
A-B-A-B-A-B-H-G-H              Current cost: 24
A-B-A-B-A-B-H-G-H-A            Current cost: 28
A-B-A-B-A-B-H-G-H-B            Current cost: 29
A-B-A-B-A-B-H-G-H-G            Current cost: 26
A-B-A-B-A-B-H-G-D              Current cost: 30
A-B-A-B-A-B-H-G-D-C            Current cost: 38
A-B-A-B-A-B-H-G-D-G            Current cost: 38
A-B-A-B-A-B-H-G-D-E            Current cost: 32
A-B-A-B-A-B-H-G-D-F            Current cost: 33
A-B-A-B-A-B-H-G-F              Current cost: 26
A-B-A-B-A-B-H-G-F-G            Current cost: 30
A-B-A-B-A-B-H-G-F-D            Current cost: 29
A-B-A-B-A-H                    Current cost: 16
A-B-A-B-A-H-A                  Current cost: 20
A-B-A-B-A-H-A-B                Current cost: 23
A-B-A-B-A-H-A-B-A              Current cost: 26
A-B-A-B-A-H-A-B-A-B            Current cost: 29
A-B-A-B-A-H-A-B-A-H            Current cost: 30
A-B-A-B-A-H-A-B-C              Current cost: 27
A-B-A-B-A-H-A-B-C-B            Current cost: 31
A-B-A-B-A-H-A-B-C-G            Current cost: 30
A-B-A-B-A-H-A-B-C-D            Current cost: 35
A-B-A-B-A-H-A-B-H              Current cost: 28
A-B-A-B-A-H-A-B-H-A            Current cost: 32
A-B-A-B-A-H-A-B-H-B            Current cost: 33
A-B-A-B-A-H-A-B-H-G            Current cost: 30
A-B-A-B-A-H-A-H                Current cost: 24
A-B-A-B-A-H-A-H-A              Current cost: 28
A-B-A-B-A-H-A-H-A-B            Current cost: 31
A-B-A-B-A-H-A-H-A-H            Current cost: 32
A-B-A-B-A-H-A-H-B              Current cost: 29
A-B-A-B-A-H-A-H-B-A            Current cost: 32
A-B-A-B-A-H-A-H-B-C            Current cost: 33
A-B-A-B-A-H-A-H-B-H            Current cost: 34
